Date,Open,High,Low,Close,Adj Close,Volume
8/16/2006,49.720001,49.790001,49.110001,49.189999,49.189999,184900
8/17/2006,48.549999,48.580002,48,48.360001,48.360001,152200
8/18/2006,48.540001,48.560001,47.849998,48.439999,48.439999,149200
8/21/2006,49.02,49.400002,48.700001,49.32,49.32,145500
8/22/2006,49.349998,49.43,49,49.23,49.23,27800
8/23/2006,48.830002,48.860001,47.93,48.330002,48.330002,137900
8/24/2006,48.240002,48.900002,48.130001,48.900002,48.900002,109200
8/25/2006,49.459999,49.619999,48.799999,48.84,48.84,201300
8/28/2006,48.02,48.02,47.330002,47.48,47.48,22000
8/29/2006,47.029999,47.279999,46.82,46.990002,46.990002,37700
8/30/2006,47.080002,47.43,46.360001,47.419998,47.419998,74400
8/31/2006,47.110001,47.41,46.889999,47.41,47.41,49700
9/1/2006,47.380001,47.490002,46.549999,46.700001,46.700001,102400
9/5/2006,46.189999,46.439999,46.029999,46.439999,46.439999,151100
9/6/2006,45.889999,46.27,45.52,45.639999,45.639999,200800
9/7/2006,45.619999,45.650002,45.009998,45.259998,45.259998,454200
9/8/2006,45.360001,45.360001,44.59,44.73,44.73,155500
9/11/2006,44.139999,44.639999,43.790001,44.099998,44.099998,158400
9/12/2006,44.18,44.279999,43.009998,43.049999,43.049999,70800
9/13/2006,43.279999,43.599998,42.91,43.200001,43.200001,47600
9/14/2006,43.189999,43.259998,42.43,42.639999,42.639999,68800
9/15/2006,42.330002,42.630001,41.91,42.529999,42.529999,66800
9/18/2006,42.75,43.200001,42.23,42.790001,42.790001,120900
9/19/2006,43,43.200001,41.27,41.32,41.32,102900
9/20/2006,40.849998,41.330002,40.34,40.400002,40.400002,104800
9/21/2006,40.57,41,40.380001,41,41,41600
9/22/2006,41.189999,41.27,40.07,40.080002,40.080002,54700
9/25/2006,39.849998,41.209999,39.66,40.759998,40.759998,147500
9/26/2006,40.700001,41.139999,40.290001,40.68,40.68,142500
9/27/2006,40.830002,41.970001,40,41.900002,41.900002,86500
9/28/2006,41.950001,42.59,41.549999,41.549999,41.549999,218100
9/29/2006,41.5,41.93,41,41.880001,41.880001,95400
10/2/2006,41.599998,41.73,40.529999,40.549999,40.549999,26200
10/3/2006,39.93,39.959999,38.990002,39,39,95100
10/4/2006,39.310001,39.700001,38.5,39.650002,39.650002,141300
10/5/2006,40.549999,40.549999,39.540001,40.049999,40.049999,82100
10/6/2006,39.889999,40.029999,39.25,39.900002,39.900002,74800
10/9/2006,40.299999,40.73,39.919998,39.98,39.98,28400
10/10/2006,39.599998,39.73,39.02,39.09,39.09,36600
10/11/2006,39.119999,39.279999,38.360001,38.360001,38.360001,31300
10/12/2006,38.5,38.889999,38.450001,38.82,38.82,27700
10/13/2006,39.150002,39.52,39.09,39.150002,39.150002,28200
10/16/2006,39.049999,39.919998,38.82,39.849998,39.849998,55600
10/17/2006,40.150002,40.150002,39.27,39.369999,39.369999,24700
10/18/2006,39.220001,39.630001,38.299999,38.540001,38.540001,37300
10/19/2006,38.700001,39.48,38.419998,39.369999,39.369999,41900
10/20/2006,39.450001,39.450001,38.360001,38.5,38.5,165600
10/23/2006,38.009998,38.220001,37.75,38.220001,38.220001,59200
10/24/2006,38.049999,38.639999,37.98,38.52,38.52,20800
10/25/2006,38.650002,39.900002,38.599998,39.900002,39.900002,74200
10/26/2006,39.959999,39.98,39.009998,39.169998,39.169998,106100
10/27/2006,39.369999,39.459999,38.919998,39.380001,39.380001,31100
10/30/2006,38.799999,38.82,37.880001,37.919998,37.919998,74500
10/31/2006,37.549999,38.119999,37.080002,38.049999,38.049999,72700
11/1/2006,38.049999,38.57,37.619999,38.029999,38.029999,103900
11/2/2006,37.700001,38.25,37.439999,37.599998,37.599998,37000
11/3/2006,37.990002,38.490002,37.919998,38.419998,38.419998,46700
11/6/2006,38.380001,39.279999,37.580002,39.009998,39.009998,94100
11/7/2006,39.049999,39.119999,38.299999,38.419998,38.419998,15900
11/8/2006,38.5,39.110001,38.439999,39,39,67700
11/9/2006,39.549999,39.790001,39.439999,39.779999,39.779999,59700
11/10/2006,39.549999,39.549999,38.799999,38.900002,38.900002,56300
11/13/2006,38.439999,38.630001,38.080002,38.200001,38.200001,59400
11/14/2006,38.27,38.52,37.970001,38.049999,38.049999,93800
11/15/2006,38.169998,38.700001,38.130001,38.32,38.32,219700
11/16/2006,38.599998,38.720001,36.849998,37.009998,37.009998,354900
11/17/2006,36.799999,37.25,36.75,37.16,37.16,133300
11/20/2006,36.900002,37.240002,36.630001,37.200001,37.200001,151300
11/21/2006,37.450001,38.060001,37.389999,37.950001,37.950001,73200
11/22/2006,38,38.080002,36.900002,37.459999,37.459999,167300
11/24/2006,37.77,37.959999,37.669998,37.75,37.75,36400
11/27/2006,37.75,38.18,37.650002,38.119999,38.119999,98400
