Date,Price,Open,High,Low,Vol.,Change %
31-May-19,"36,440","36,377","36,525","36,357",4.70K,0.05%
30-May-19,"36,420","36,189","36,550","36,034",18.23K,0.37%
29-May-19,"36,286","36,030","36,326","36,030",20.37K,1.04%
28-May-19,"35,914","36,369","36,504","35,826",23.18K,-1.47%
27-May-19,"36,449","36,468","36,609","36,402",9.52K,0.18%
24-May-19,"36,384","36,657","36,657","36,360",11.73K,-0.74%
23-May-19,"36,657","36,256","36,740","36,056",18.85K,0.96%
22-May-19,"36,309","36,298","36,433","36,204",12.13K,0.17%
21-May-19,"36,246","36,319","36,350","36,180",14.09K,-0.34%
20-May-19,"36,371","36,450","36,450","36,100",16.20K,-0.56%
17-May-19,"36,577","36,894","36,894","36,528",16.98K,-0.77%
16-May-19,"36,859","37,470","37,550","36,833",21.37K,-1.75%
15-May-19,"37,517","37,571","37,690","37,411",13.15K,-0.01%
14-May-19,"37,521","37,580","37,762","37,451",13.90K,-0.34%
13-May-19,"37,650","37,305","37,722","37,192",17.81K,0.79%
10-May-19,"37,354","37,410","37,488","37,255",12.89K,-0.12%
9-May-19,"37,398","37,370","37,571","37,287",15.98K,-0.01%
8-May-19,"37,402","37,490","37,670","37,360",16.62K,-0.17%
7-May-19,"37,464","37,388","37,520","37,170",16.71K,0.24%
6-May-19,"37,376","37,262","37,417","37,051",15.86K,0.86%
3-May-19,"37,059","36,279","37,721","36,250",0.22K,2.17%
2-May-19,"36,273","36,851","36,851","36,171",0.28K,-1.10%
1-May-19,"36,678","37,250","37,250","36,471",2.89K,-1.43%
30-Apr-19,"37,209","37,369","37,407","36,925",16.08K,-0.82%
26-Apr-19,"37,518","37,546","37,680","37,295",17.04K,0.16%
25-Apr-19,"37,457","37,255","37,648","37,255",17.33K,-0.07%
24-Apr-19,"37,482","36,921","37,504","36,913",20.74K,1.37%
23-Apr-19,"36,976","37,419","37,455","36,830",18.78K,-1.08%
22-Apr-19,"37,381","37,325","37,608","37,325",12.09K,0.41%
18-Apr-19,"37,230","37,250","37,389","37,112",13.51K,0.05%
17-Apr-19,"37,210","37,232","37,469","37,111",10.35K,-0.14%
16-Apr-19,"37,263","37,200","37,338","37,060",14.92K,-0.03%
15-Apr-19,"37,273","37,130","37,339","36,891",16.99K,0.14%
12-Apr-19,"37,220","37,001","37,467","37,001",16.11K,0.81%
11-Apr-19,"36,920","37,700","37,730","36,889",22.58K,-2.49%
10-Apr-19,"37,861","37,740","37,906","37,619",14.18K,0.06%
9-Apr-19,"37,838","38,050","38,150","37,808",14.07K,-0.46%
8-Apr-19,"38,013","37,690","38,121","37,690",14.35K,1.32%
5-Apr-19,"37,519","37,450","37,796","37,419",18.94K,0.14%
