Date,Price,Open,High,Low,Vol.,Change %
31-May-19,97.877,98.06,98.075,97.857,-,-0.18%
30-May-19,98.053,98.04,98.195,98,-,0.02%
29-May-19,98.035,97.795,98.1,97.75,12.41K,0.20%
28-May-19,97.842,97.605,97.865,97.57,13.14K,0.37%
27-May-19,97.477,97.43,97.665,97.42,2.94K,0.00%
24-May-19,97.477,97.72,97.775,97.41,9.77K,-0.25%
23-May-19,97.723,97.95,98.26,97.665,19.35K,-0.16%
22-May-19,97.881,97.87,97.97,97.73,7.57K,-0.02%
21-May-19,97.896,97.79,97.975,97.635,14.85K,0.14%
20-May-19,97.764,97.845,97.875,97.72,7.31K,-0.06%
17-May-19,97.824,97.665,97.86,97.59,8.63K,0.15%
16-May-19,97.678,97.355,97.715,97.265,12.12K,0.31%
15-May-19,97.376,97.345,97.515,97.24,13.64K,0.06%
14-May-19,97.322,97.115,97.36,97.075,9.00K,0.21%
13-May-19,97.12,97.11,97.195,96.81,17.10K,-0.01%
10-May-19,97.125,97.245,97.245,96.905,14.29K,-0.04%
9-May-19,97.164,97.37,97.49,97.01,17.59K,-0.23%
8-May-19,97.388,97.345,97.44,97.18,13.54K,-0.01%
7-May-19,97.399,97.285,97.51,97.135,17.16K,0.13%
6-May-19,97.268,97.335,97.465,97.225,9.24K,0.01%
3-May-19,97.26,97.575,97.865,97.185,12.96K,-0.33%
2-May-19,97.586,97.355,97.595,97.255,14.40K,0.18%
1-May-19,97.41,97.23,97.46,96.87,18.04K,0.22%
30-Apr-19,97.201,97.575,97.625,97.17,16.35K,-0.39%
29-Apr-19,97.581,97.75,97.84,97.545,8.42K,-0.15%
26-Apr-19,97.726,97.88,98.085,97.56,14.69K,-0.20%
25-Apr-19,97.919,97.8,98.055,97.715,16.65K,0.07%
24-Apr-19,97.855,97.265,97.88,97.265,20.00K,0.55%
23-Apr-19,97.32,96.97,97.46,96.955,12.19K,0.38%
22-Apr-19,96.955,97.085,97.1,96.92,6.23K,-0.20%
18-Apr-19,97.151,96.695,97.29,96.62,16.76K,0.51%
17-Apr-19,96.658,96.73,96.785,96.46,10.50K,0.01%
16-Apr-19,96.652,96.545,96.73,96.5,14.63K,0.10%
15-Apr-19,96.556,96.58,96.58,96.405,9.89K,-0.04%
12-Apr-19,96.598,96.8,96.815,96.365,16.01K,-0.22%
11-Apr-19,96.809,96.525,96.86,96.5,10.06K,0.26%
10-Apr-19,96.558,96.6,96.84,96.405,13.60K,-0.05%
9-Apr-19,96.611,96.675,96.7,96.46,9.46K,-0.04%
8-Apr-19,96.65,97,97.02,96.575,12.36K,-0.36%
5-Apr-19,97.002,96.92,97.075,96.7,10.23K,0.08%
4-Apr-19,96.925,96.62,96.945,96.605,16.28K,0.27%
3-Apr-19,96.662,96.885,96.89,96.525,12.58K,-0.27%
2-Apr-19,96.923,96.895,97.095,96.825,14.00K,0.13%
1-Apr-19,96.799,96.795,96.87,96.58,14.05K,-0.05%
29-Mar-19,96.845,96.765,96.91,96.565,15.90K,0.08%
28-Mar-19,96.764,96.485,96.855,96.36,20.79K,0.50%
27-Mar-19,96.283,96.25,96.49,96.19,11.34K,0.06%
26-Mar-19,96.225,95.99,96.335,95.94,10.86K,0.16%
25-Mar-19,96.068,96.145,96.19,95.895,11.69K,-0.09%
22-Mar-19,96.151,95.84,96.29,95.695,20.72K,0.17%
21-Mar-19,95.987,95.38,96.125,95.295,28.79K,0.83%
20-Mar-19,95.201,95.84,96.03,95.17,25.78K,-0.66%
19-Mar-19,95.831,95.97,95.975,95.73,9.63K,-0.71%
18-Mar-19,96.516,96.54,96.54,96.39,0.03K,-0.08%
15-Mar-19,96.59,96.72,96.775,96.475,6.94K,-0.18%
14-Mar-19,96.769,96.48,96.805,96.475,17.75K,0.27%
13-Mar-19,96.512,96.975,96.985,96.345,31.34K,-0.40%
12-Mar-19,96.899,97,97.245,96.8,26.30K,-0.28%
11-Mar-19,97.174,97.35,97.41,97.115,17.09K,-0.10%
8-Mar-19,97.269,97.55,97.595,97.18,25.41K,-0.37%
7-Mar-19,97.628,96.785,97.665,96.765,27.95K,0.86%
6-Mar-19,96.799,96.83,96.94,96.705,14.73K,0.00%
5-Mar-19,96.795,96.615,96.95,96.585,14.58K,0.19%
4-Mar-19,96.61,96.295,96.745,96.255,16.21K,0.17%
1-Mar-19,96.45,96.165,96.475,95.96,30.25K,0.42%
28-Feb-19,96.043,96.005,96.195,95.715,22.31K,0.01%
27-Feb-19,96.038,95.915,96.07,95.755,14.21K,0.18%
26-Feb-19,95.865,96.255,96.345,95.81,19.18K,-0.42%
25-Feb-19,96.271,96.38,96.47,96.18,13.01K,-0.10%
22-Feb-19,96.367,96.465,96.65,96.28,13.03K,-0.10%
21-Feb-19,96.463,96.355,96.54,96.21,18.04K,0.18%
